1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
         44,20161111,,-999,-999,    3,   0.0,   0,    7.183,   0,  -999,   6.0,    -999,    1.1,   91.25,    5.0,   -3.3,   -6.0,eor
         44,20161112,,-999,-999,    3,   0.0,   0,    2.600,   0,  -999,   5.3,    -999,   -1.4,   96.42,    1.5,   -4.4,   -6.9,eor
         44,20161113,,-999,-999,    3,   0.0,   0,    1.550,   0,  -999,   5.4,    -999,    0.1,   88.21,    2.3,   -2.8,   -5.9,eor
         44,20161114,,-999,-999,    3,   2.5,   4,    2.050,   0,  -999,   5.5,    -999,    0.4,   87.21,    3.3,   -4.3,   -6.7,eor
         44,20161115,,-999,-999,    3,   1.8,   4,    0.000,   0,  -999,  10.6,    -999,    7.6,   99.92,   11.3,    3.0,    2.8,eor
         44,20161116,,-999,-999,    3,   4.7,   4,    0.217,   0,  -999,  11.9,    -999,   10.2,   95.63,   12.8,    7.8,    6.1,eor
         44,20161117,,-999,-999,    3,  17.3,   4,    1.833,   0,  -999,  10.3,    -999,    8.5,   92.42,   10.8,    5.5,    5.0,eor
         44,20161118,,-999,-999,    3,   1.7,   4,    2.750,   0,  -999,   8.4,    -999,    5.9,   90.04,    8.5,    3.0,    1.3,eor
         44,20161119,,-999,-999,    3,   0.1,   4,    0.300,   0,  -999,   7.5,    -999,    4.2,   90.29,    6.8,    2.2,   -0.9,eor
         44,20161120,,-999,-999,    3,   2.0,   4,    1.150,   0,  -999,   7.9,    -999,    7.8,   75.42,   13.2,    2.4,   -0.3,eor
         44,20161121,,-999,-999,    3,   0.5,   4,    0.000,   0,  -999,  10.7,    -999,   11.3,   79.79,   13.7,    8.3,    6.3,eor
         44,20161122,,-999,-999,    3,   0.0,   0,    0.867,   0,  -999,  10.2,    -999,   10.9,   78.29,   13.7,    7.6,    4.6,eor
         44,20161123,,-999,-999,    3,   0.0,   0,    1.950,   0,  -999,  10.3,    -999,    8.3,   94.29,   12.1,    5.2,    2.6,eor
         44,20161124,,-999,-999,    3,   0.0,   0,    5.633,   0,  -999,   7.9,    -999,    4.5,   92.88,    7.0,    0.4,   -2.8,eor
         44,20161125,,-999,-999,    3,   0.0,   0,    0.100,   0,  -999,   6.3,    -999,    0.3,  100.00,    2.0,   -0.9,   -3.1,eor
         44,20161126,,-999,-999,    3,   0.1,   4,    0.000,   0,  -999,   6.3,    -999,    0.3,  100.00,    4.2,   -1.6,   -1.2,eor
         44,20161127,,-999,-999,    3,   0.3,   4,    6.200,   0,  -999,   7.8,    -999,    4.6,   91.63,    8.9,   -1.1,   -4.1,eor
         44,20161128,,-999,-999,    3,   0.0,   0,    7.333,   0,  -999,   5.1,    -999,   -0.3,   85.25,    3.2,   -4.8,   -7.9,eor
         44,20161129,,-999,-999,    3,   0.0,   0,    7.233,   0,  -999,   4.6,    -999,   -2.7,   92.92,    1.5,   -6.1,   -8.8,eor
         44,20161130,,-999,-999,    3,   0.2,   4,    0.000,   0,  -999,   6.3,    -999,    2.5,   83.29,    5.4,   -1.9,   -4.0,eor
         44,20161201,,-999,-999,    3,   0.4,   4,    0.000,   0,  -999,   9.4,    -999,    7.5,   90.46,    9.2,    4.4,    2.7,eor
         44,20161202,,-999,-999,    3,   0.0,   0,    5.583,   0,  -999,   7.4,    -999,    4.3,   88.54,    8.3,   -1.6,   -4.0,eor
         44,20161203,,-999,-999,    3,   0.0,   0,    4.767,   0,  -999,   6.0,    -999,    0.2,   97.17,    5.4,   -3.6,   -4.7,eor
         44,20161204,,-999,-999,    3,   0.0,   0,    0.033,   0,  -999,   4.9,    -999,   -3.1,  100.00,   -1.2,   -4.7,   -7.6,eor
         44,20161205,,-999,-999,    3,   0.0,   0,    7.200,   0,  -999,   4.5,    -999,   -4.3,   99.83,    1.3,   -7.1,   -9.5,eor
         44,20161206,,-999,-999,    3,   0.0,   0,    7.067,   0,  -999,   4.6,    -999,   -3.1,   92.96,    3.2,   -7.3,   -9.6,eor
         44,20161207,,-999,-999,    3,   0.2,   4,    0.000,   0,  -999,   6.8,    -999,    3.3,   86.96,    7.6,   -2.4,   -3.1,eor
         44,20161208,,-999,-999,    3,   0.5,   4,    0.567,   0,  -999,   7.6,    -999,    7.5,   73.04,    9.5,    6.4,    3.9,eor
         44,20161209,,-999,-999,    3,   0.1,   4,    0.000,   0,  -999,  11.3,    -999,    9.0,   97.67,   10.2,    7.0,    6.3,eor
         44,20161210,,-999,-999,    3,  17.0,   4,    0.000,   0,  -999,  10.0,    -999,    7.5,   96.33,    9.1,    7.1,    6.5,eor
         44,20161211,,-999,-999,    3,   0.7,   4,    0.133,   0,  -999,   9.9,    -999,    7.7,   94.29,    9.1,    6.4,    5.8,eor
         44,20161212,,-999,-999,    3,   0.9,   4,    0.000,   0,  -999,   9.8,    -999,    6.9,   98.17,    7.5,    5.9,    5.3,eor
         44,20161213,,-999,-999,    3,   0.2,   4,    0.000,   0,  -999,   8.9,    -999,    5.7,   97.29,    6.3,    3.0,   -0.1,eor
         44,20161214,,-999,-999,    3,   0.4,   4,    0.000,   0,  -999,  10.0,    -999,    7.0,   99.79,    8.0,    6.0,    5.9,eor
         44,20161215,,-999,-999,    3,   0.0,   0,    0.000,   0,  -999,   8.8,    -999,    5.5,   96.71,    6.7,    2.0,    1.1,eor
         44,20161216,,-999,-999,    3,   0.0,   0,    5.150,   0,  -999,   7.0,    -999,    2.3,   96.83,    5.4,   -0.8,   -3.0,eor
         44,20161217,,-999,-999,    3,   0.1,   4,    0.000,   0,  -999,   7.5,    -999,    3.0,   98.21,    6.5,   -1.0,   -2.4,eor
         44,20161218,,-999,-999,    3,   0.4,   4,    0.000,   0,  -999,   9.3,    -999,    6.3,   96.96,    7.4,    5.4,    4.4,eor
         44,20161219,,-999,-999,    3,   0.0,   0,    0.000,   0,  -999,   8.1,    -999,    4.0,   99.25,    5.7,    1.1,   -1.5,eor
         44,20161220,,-999,-999,    3,   0.0,   0,    0.000,   0,  -999,   6.3,    -999,    0.6,   98.33,    1.6,   -1.0,   -2.1,eor
         44,20161221,,-999,-999,    3,   6.2,   4,    2.800,   0,  -999,   6.7,    -999,    2.7,   90.58,    5.7,   -1.3,   -2.5,eor
         44,20161222,,-999,-999,    3,   0.7,   4,    0.000,   0,  -999,   8.5,    -999,    4.7,   99.08,    5.7,    3.5,    3.3,eor
         44,20161223,,-999,-999,    3,   0.5,   4,    0.000,   0,  -999,   8.5,    -999,    5.7,   92.33,    7.2,    4.4,    3.2,eor
         44,20161224,,-999,-999,    3,   0.2,   4,    0.833,   0,  -999,   8.7,    -999,    7.0,   86.58,    9.0,    4.5,    4.1,eor
         44,20161225,,-999,-999,    3,   1.4,   4,    0.000,   0,  -999,  11.0,    -999,    9.4,   92.50,   11.5,    8.0,    7.4,eor
         44,20161226,,-999,-999,    3,   1.8,   4,    1.650,   0,  -999,   8.8,    -999,    8.2,   79.21,   11.6,    4.7,    3.3,eor
         44,20161227,,-999,-999,    3,   0.0,   4,    1.167,   0,  -999,   8.4,    -999,    6.8,   85.04,    8.7,    4.7,    3.2,eor
         44,20161228,,-999,-999,    3,   0.0,   0,    0.000,   0,  -999,   7.9,    -999,    5.1,   90.63,    6.4,    2.4,   -1.2,eor
         44,20161229,,-999,-999,    3,   0.0,   0,    6.750,   0,  -999,   5.9,    -999,    0.5,   93.58,    5.4,   -2.7,   -5.7,eor
