ID,geo_Breite,geo_Länge,PLZ
1,47.8413,8.8493,78267
3,50.7827,6.0941,52070
44,52.9335,8.2370,26197
52,53.6623,10.1990,22926
61,48.8443,12.6171,94330
70,48.2052,9.0371,72458
71,48.2156,8.9784,72458
72,48.2766,9.0001,72461
73,48.6159,13.0506,94501
78,52.4853,7.9126,49594
91,50.7446,9.3450,36304
93,50.7691,9.2542,36304
98,51.1890,8.4671,59955
102,53.8633,8.1275,26486
106,51.7976,10.4429,38707
116,50.9833,12.4333,04600
125,47.8342,10.8667,86972
129,53.6893,13.2420,17087
131,51.0881,12.9326,09326
132,49.7725,12.3891,95671
142,48.4060,11.3117,85250
150,49.7273,8.1164,55234
151,49.4691,11.8546,92224
154,48.0197,12.2924,83552
161,50.4237,7.4202,56626
164,53.0316,13.9908,16278
167,53.8412,13.6846,17389
169,50.5730,13.0053,09456
172,52.2486,9.5056,31832
174,49.1886,7.9766,76855
175,49.2964,10.5751,91522
176,49.2475,10.5826,91522
177,49.3158,10.5815,91522
183,54.6792,13.4343,18556
184,52.6769,12.0077,39596
185,54.6289,9.9294,24399
186,51.3773,8.0713,59821
191,49.9695,9.9113,97450
193,51.3845,9.0820,34454
198,51.3745,11.2920,06556
202,49.9778,9.1114,63741
207,51.7498,11.4667,06449
211,50.5800,8.4685,35614
217,47.8774,11.3642,82541
221,48.5515,11.7117,84072
222,50.5907,12.7140,08280
231,48.3723,10.8948,86152
232,48.4254,10.9420,86444
243,53.4621,7.4670,26605
257,48.7270,8.2458,76534
259,47.8064,7.6387,79379
268,48.5293,8.2727,72270
273,47.8413,9.6606,88255
282,49.8742,10.9206,96050
283,49.8808,10.8695,96049
284,49.8800,10.8800,96049
288,53.8409,13.7549,17398
294,52.3199,9.4300,30890
298,54.3406,12.7108,18356
303,52.0614,13.4996,15837
314,51.1604,14.5042,02627
320,49.9667,11.5197,95500
321,47.6797,12.0017,83735
326,51.7204,8.0577,59269
327,53.6234,8.8323,27624
330,49.5617,8.9673,64743
335,54.3426,10.6018,24321
342,52.3170,8.1694,49191
348,50.4135,7.5886,56170
355,49.6789,8.6276,64625
361,47.6344,13.0109,83471
365,49.3311,11.4303,92348
368,52.8152,9.9248,29303
377,49.1070,7.9967,76887
379,50.9074,11.2665,99438
386,51.0454,8.3851,57319
390,50.9837,8.3683,57319
395,52.4167,13.4833,12355
399,52.5198,13.4057,10178
400,52.6309,13.5022,13125
402,52.4564,13.2997,14195
403,52.4537,13.3017,12203
405,52.4500,13.6500,12587
407,52.6461,13.2858,13465
408,52.5333,13.3833,10115
410,52.4040,13.7309,15537
416,52.4069,13.4127,12305
417,52.4144,13.3036,12207
420,52.5447,13.5598,12679
422,52.5333,13.3833,10115
424,52.5000,13.4667,10245
425,52.4044,13.4838,12355
427,52.3807,13.5306,12529
429,52.5667,13.1694,13589
430,52.5644,13.3088,13405
432,52.6044,13.2952,13509
433,52.4675,13.4021,12099
434,52.4553,13.4699,12437
435,52.4289,13.2327,14163
445,51.8218,11.7109,06406
450,49.9186,7.0664,54470
458,50.0699,7.0306,56864
460,49.2640,6.6868,66802
474,48.1252,9.7639,88447
480,50.9275,8.4935,35216
502,49.8747,9.4883,97836
508,50.0539,11.8149,95493
524,51.6333,12.3167,06749
526,50.6738,11.2805,07422
535,50.0372,7.3079,56865
550,50.9041,11.7985,07646
553,51.8380,6.6107,46395
554,51.8293,6.5365,46395
555,51.4789,7.2697,44803
570,49.0768,13.0765,94249
576,48.6759,8.9732,71034
578,48.9451,11.3667,85110
588,51.7520,9.3953,37691
591,53.3911,10.6878,19258
592,53.8634,9.7344,25364
594,48.6407,9.6136,73087
596,54.0028,11.1908,23946
598,50.7285,7.0839,53115
599,50.7055,7.1467,53175
601,50.6983,7.0356,53123
603,50.7349,7.1931,53229
604,47.8194,8.3348,79848
606,48.0791,10.1977,87737
614,51.5709,9.3120,34434
617,51.8728,6.8862,46325
619,53.5788,6.6703,26757
634,49.4442,9.6458,97944
642,53.3517,8.4969,26919
